timestamp_us,lin_m,lin_b
1777478674388458,140483.41079836842,-4727.777225927922
1777478674398461,126915.85839069002,-3863.8363769729763
1777478674408462,103209.45355113699,-3066.687229282075
1777478674418462,84074.17177823719,-2367.7585715719515
1777478674428460,89378.82250145565,-2195.660314498926
1777478674438451,89021.64210079251,-2053.023317304319
1777478674448460,66807.31107063308,-1653.5733967773267
1777478674458455,62612.03399092381,-1391.6608391203088
1777478674468454,52310.55784315967,-1104.0317017207676
1777478674478455,44384.416345379985,-962.1959107944633
1777478674488461,39911.87970123629,-764.2058951110611
1777478674498458,35573.270581458404,-608.8338077827194
1777478674508462,30820.193722371045,-471.15737829752953
1777478674518450,23335.61702211838,-248.8019508861883
1777478674528461,18166.63977938448,-73.95361988457344
1777478674538444,16462.40658015921,67.03954600513767
1777478674548452,16575.590447804618,75.2080299191113
1777478674558455,17370.13995197875,123.27742528015334
1777478674568459,14614.84966908781,140.47452284741644
1777478674578461,19663.43260363344,-123.63443399427125
1777478674588456,29280.381329378433,-447.8631514749123
1777478674598462,33940.564207402065,-749.848839095688
1777478674608462,48652.71478780635,-1294.6310179196541
1777478674618462,55364.92585407602,-1870.1692376279761
1777478674628462,71297.87720948673,-2371.7796275878163
1777478674638461,87458.08605624373,-2837.4959336090715
1777478674648462,105589.23952832766,-3275.908751332789
1777478674658462,123577.6268704731,-3633.5475081351437
1777478674668461,126966.2072048177,-4054.3179275787143
1777478674678462,143660.32347398845,-4481.066865843502
1777478674688461,142978.4664091578,-4989.151095282336
1777478674698460,152456.53137627774,-5373.218431102049
1777478674708444,186528.00348768503,-5766.446351527887
1777478674718459,178670.52952406104,-6094.3347930842065
1777478674728460,196115.12832218254,-6404.930203436378
1777478674738461,219402.81351903666,-6758.398134618537
1777478674748459,191810.71330814163,-7204.109250393729
1777478674758462,227060.24212442045,-7615.769116625772
1777478674768458,234361.75095046053,-7982.594752354525
1777478674778458,282004.43031865533,-8284.547336183923
1777478674788462,280237.5643536624,-8530.426787715014
1777478674798462,272197.20978544577,-8881.700004487207
1777478674808461,249034.3703134459,-9299.177302683858
1777478674818458,300951.388638135,-9661.519451237811
1777478674828461,288383.70980124664,-10060.180678564002
1777478674838452,298214.01755757944,-10392.056836857566
1777478674848452,321850.5463764164,-10684.859484127308
1777478674858461,338663.0490908578,-10948.609262906693
1777478674868461,350538.03136770235,-11216.804799014288
1777478674878459,370775.927148505,-11462.178948914594
1777478674888462,376377.74651269004,-11688.888511638224
1777478674898458,369219.04024154454,-11890.671297401143
1777478674908445,329382.72804302105,-12206.915059202964
1777478674918455,376146.65087304165,-12352.650117084982
1777478674928458,389317.793942157,-12584.098469752536
1777478674938462,375150.9018035048,-12856.10793926742
1777478674948461,357578.368830203,-13074.801540948158
1777478674958435,360290.1959736373,-13282.85585013149
1777478674968454,378442.975705311,-13435.06330183837
1777478674978428,436089.00690048217,-13494.613121510176
1777478674988434,417412.3959564209,-13578.95819948019
1777478674998396,377238.8467096202,-13613.455838183318
1777478675008461,467479.25870916044,-13600.982182393795
1777478675018450,500174.16033968556,-13443.121301300444
1777478675028447,387113.7428233265,-13326.042581298472
1777478675038458,426073.2590811009,-13171.739475038028
1777478675048445,424308.65823484916,-13063.14297982406
1777478675058455,450986.15948854404,-12822.572033808407
1777478675068457,413178.7685257487,-12672.475664013675
1777478675078459,413612.83785297966,-12397.615295727184
1777478675088462,333163.55571367877,-12103.166621354007
1777478675098462,358608.50683300145,-11476.574840696463
1777478675108461,313732.668069039,-10884.44401168351
1777478675118461,311476.0537355262,-10313.256202962268
1777478675128460,284421.56480332214,-9736.472690401713
1777478675138462,253112.62825078506,-9162.10113169956
1777478675148462,259405.30165340783,-8559.959841298914
1777478675158462,246306.24010087477,-7946.808065621565
1777478675168459,219120.50984858326,-7350.160953935333
1777478675178456,200837.7810044313,-6785.946652021647
1777478675188462,196432.40715492732,-6075.654032895281
1777478675198461,164905.6385777671,-5332.824921502474
1777478675208460,123595.52637275921,-4479.88992121242
1777478675218462,112845.80840303475,-3681.4531860758784
